qc_m,qc_f,q50_m,q50_f,qcb_m,qcb_f,qbj_m,qbj_f,qdot_m,qdot_f,qsc_m,qsc_f,qb_m,qb_f,qtc_m,qtc_f
0.0005348,0.0005203,0.000188,0.000143,0.0005348,0.0005203,0,0,0.0000032,0.0000017,0,0,0.00007,0.000106,0,0
0.0004554,0.0004428,0.000069,0.000036,0.0004552,0.0004428,0.0000002,0,0.0000016,0.0000017,0,0,0.000061,0.000092,0,0.0000015
0.0003793,0.0003718,0.000067,0.000035,0.0003789,0.0003718,0.0000003,0,0.0000016,0.0000017,0,0,0.000052,0.000079,0.0000011,0.0000015
0.0003153,0.0003095,0.000063,0.000034,0.0003148,0.0003095,0.0000004,0,0.0000016,0,0,0,0.000045,0.000067,0.0000011,0.0000015
0.0002643,0.0002555,0.00006,0.000032,0.0002638,0.0002555,0.0000005,0,0.0000016,0,0,0,0.000038,0.000057,0.0000011,0.0000015
0.0002283,0.0002125,0.000056,0.00003,0.0002278,0.0002125,0.0000005,0,0.0000016,0,0,0,0.000033,0.000048,0.0000011,0.0000015
0.0002012,0.0001756,0.000054,0.000028,0.0002008,0.0001756,0.0000004,0,0.0000016,0,0,0,0.000029,0.000042,0.0000022,0.0000074
0.0001862,0.000152,0.00005,0.000027,0.0001858,0.000152,0.0000004,0,0.0000016,0,0,0,0.000027,0.000037,0.0000022,0.000012
0.0001771,0.0001395,0.000047,0.000026,0.0001767,0.0001395,0.0000004,0,0.0000016,0,0,0,0.000025,0.000035,0.0000033,0.0000165
0.000174,0.0001371,0.000043,0.000025,0.0001737,0.0001371,0.0000004,0,0.0000016,0,0,0,0.000025,0.000035,0.0000043,0.0000209
0.000177,0.0001389,0.000039,0.000023,0.0001767,0.0001389,0.0000004,0,0.0000016,0,0,0,0.000025,0.000036,0.0000043,0.0000281
0.000182,0.0001474,0.000039,0.000022,0.0001817,0.0001474,0.0000004,0,0.0000016,0,0,0,0.000026,0.00004,0.0000054,0.0000356
0.00019,0.0001535,0.000038,0.000022,0.0001896,0.0001514,0.0000004,0.0000021,0.0000016,0.0000017,0,0.000001,0.000028,0.000044,0.0000075,0.0000468
0.0002009,0.0001653,0.000037,0.000022,0.0002005,0.0001632,0.0000004,0.0000021,0.0000016,0.0000017,0,0.000002,0.000029,0.00005,0.0000085,0.000058
0.000214,0.000177,0.000035,0.000022,0.0002135,0.0001749,0.0000004,0.0000021,0.0000016,0.0000016,0,0.000005,0.000031,0.000058,0.0000095,0.0000744
0.0002258,0.0001923,0.000052,0.000025,0.0002254,0.0001882,0.0000005,0.0000041,0.0000016,0.0000016,0,0.000009,0.000033,0.000067,0.0000136,0.0000921
0.0002368,0.000213,0.000051,0.000025,0.0002364,0.0002069,0.0000004,0.0000061,0.0000015,0.0000016,0.000001,0.000019,0.000035,0.000075,0.0000186,0.0001124
0.0002448,0.0002348,0.00005,0.000025,0.0002443,0.0002248,0.0000004,0.00001,0.0000015,0.0000032,0.000001,0.000034,0.000037,0.000082,0.0000257,0.00014
0.0002511,0.0002621,0.000048,0.000024,0.0002506,0.0002462,0.0000004,0.0000159,0.0000031,0.0000031,0.000001,0.000056,0.000038,0.000087,0.0000319,0.0001728
0.0002568,0.0002917,0.000047,0.000024,0.0002564,0.0002681,0.0000004,0.0000236,0.0000031,0.0000031,0.000001,0.000086,0.000039,0.000092,0.0000392,0.0002132
0.0002652,0.0003246,0.000072,0.000033,0.0002649,0.0002931,0.0000003,0.0000315,0.0000031,0.0000046,0.000002,0.000127,0.00004,0.000097,0.0000467,0.0002618
0.0002752,0.0003618,0.00007,0.000033,0.0002749,0.0003189,0.0000003,0.0000429,0.0000047,0.0000061,0.000003,0.000185,0.000042,0.000103,0.0000571,0.0003231
0.0002952,0.0004049,0.000069,0.000033,0.0002949,0.0003489,0.0000003,0.0000561,0.0000046,0.0000076,0.000003,0.000265,0.000045,0.000111,0.0000692,0.0004015
0.0003213,0.0004552,0.000069,0.000033,0.0003209,0.0003809,0.0000004,0.0000743,0.0000061,0.000009,0.000004,0.000369,0.000049,0.000121,0.0000856,0.0004968
0.0003548,0.0005081,0.000068,0.000033,0.0003543,0.0004103,0.0000005,0.0000978,0.0000075,0.0000104,0.000005,0.000498,0.000055,0.000134,0.0001057,0.0006125
0.0003979,0.0005827,0.000068,0.000033,0.0003973,0.0004523,0.0000006,0.0001304,0.0000075,0.0000117,0.000006,0.000642,0.000061,0.000147,0.0001257,0.0007246
0.0004462,0.0006874,0.000068,0.000033,0.0004455,0.0005118,0.0000008,0.0001756,0.0000088,0.0000131,0.000006,0.000788,0.000069,0.00016,0.0001449,0.0008215
0.0004996,0.0008011,0.000069,0.000034,0.0004986,0.00057,0.0000009,0.0002311,0.0000102,0.0000144,0.000007,0.000924,0.000078,0.000171,0.0001672,0.0009225
0.0005578,0.0009277,0.00007,0.000034,0.0005569,0.0006333,0.0000009,0.0002943,0.0000101,0.0000143,0.000008,0.001044,0.000087,0.000179,0.0001911,0.0010241
0.0006193,0.0010626,0.000072,0.000034,0.0006184,0.0006937,0.0000009,0.0003689,0.0000114,0.0000156,0.00001,0.001156,0.000098,0.000186,0.0002173,0.0011298
0.0006825,0.0012083,0.000085,0.000031,0.0006816,0.0007552,0.0000009,0.000453,0.0000127,0.0000154,0.000012,0.001263,0.000109,0.000191,0.0002459,0.0012343
0.0007472,0.0013591,0.000086,0.000031,0.0007464,0.0008141,0.0000008,0.0005451,0.0000139,0.0000153,0.000014,0.001358,0.000119,0.000196,0.0002759,0.0013345
0.0008126,0.0015118,0.000088,0.000033,0.0008105,0.0008671,0.0000021,0.0006447,0.0000138,0.0000152,0.000017,0.001427,0.000126,0.000201,0.0003076,0.001429
0.0008769,0.0017123,0.000089,0.000034,0.0008748,0.0009609,0.0000021,0.0007514,0.0000151,0.0000137,0.000021,0.001461,0.000129,0.000206,0.00034,0.001468
0.0009376,0.001917,0.00009,0.000035,0.0009355,0.0010547,0.0000021,0.0008623,0.0000163,0.0000136,0.000024,0.001468,0.000129,0.000212,0.0003721,0.0014914
0.0010089,0.0021303,0.000094,0.000038,0.0010069,0.0011514,0.0000021,0.0009789,0.0000174,0.0000135,0.000027,0.001462,0.000128,0.000217,0.0003936,0.0015022
0.0010993,0.0023615,0.000101,0.000042,0.0010973,0.0012589,0.000002,0.0011025,0.0000186,0.0000147,0.00003,0.001458,0.000127,0.000222,0.0004041,0.0015078
0.0012078,0.002623,0.000106,0.000047,0.0012058,0.0013807,0.000002,0.0012423,0.0000199,0.000016,0.000033,0.001457,0.000128,0.000226,0.0004163,0.001513
0.0013352,0.0028587,0.000112,0.000051,0.001332,0.0015056,0.0000032,0.0013531,0.0000226,0.0000173,0.000037,0.001457,0.00013,0.000227,0.0004322,0.001582
0.0014827,0.0031218,0.000119,0.000057,0.0014781,0.0016445,0.0000046,0.0014774,0.0000241,0.00002,0.00004,0.001458,0.000132,0.000225,0.0004491,0.0016571
0.0016401,0.0034027,0.000171,0.000071,0.0016339,0.0017935,0.0000062,0.0016092,0.000027,0.0000215,0.000045,0.001459,0.000134,0.000223,0.0004639,0.0017308
0.0017999,0.003679,0.000178,0.000078,0.0017918,0.0019402,0.000008,0.0017388,0.0000297,0.0000229,0.000053,0.001457,0.000137,0.000223,0.0004744,0.0017921
0.0019616,0.0039345,0.000186,0.000084,0.0019516,0.0020754,0.0000101,0.0018591,0.0000323,0.0000256,0.000068,0.001448,0.000142,0.000226,0.0004801,0.001835
0.0021345,0.0041634,0.000193,0.000092,0.0021203,0.0021679,0.0000142,0.0019955,0.0000347,0.0000268,0.000092,0.001431,0.000148,0.000234,0.0004738,0.0018628
0.0023026,0.0043779,0.000201,0.000101,0.0022838,0.0022507,0.0000188,0.0021272,0.0000369,0.0000281,0.000123,0.001409,0.000156,0.000246,0.0004605,0.001878
0.0024709,0.004584,0.000214,0.000117,0.0024472,0.0023257,0.0000237,0.0022582,0.0000402,0.000032,0.000157,0.001384,0.000165,0.00026,0.0004419,0.001885
0.0026741,0.0047803,0.000234,0.000139,0.0026434,0.002394,0.0000306,0.0023863,0.0000434,0.0000358,0.000189,0.001355,0.000172,0.000272,0.0004236,0.0018829
0.0029503,0.0049514,0.000254,0.000164,0.0029127,0.0024474,0.0000376,0.002504,0.0000468,0.0000408,0.000215,0.001318,0.000176,0.00028,0.0004089,0.0018668
0.0033083,0.0050362,0.000277,0.000188,0.0032545,0.0025942,0.0000538,0.002442,0.000052,0.000044,0.000235,0.001267,0.000177,0.000284,0.0004067,0.0018838
0.0037405,0.0050882,0.000299,0.000216,0.0036667,0.0027261,0.0000738,0.0023621,0.0000588,0.0000482,0.000249,0.001205,0.000175,0.000284,0.0004028,0.0018885
0.0042122,0.0051275,0.0004,0.000276,0.004115,0.0028528,0.0000972,0.0022747,0.0000667,0.0000522,0.000261,0.001138,0.00017,0.000283,0.0003911,0.0018883
0.0047031,0.0051647,0.000426,0.000308,0.0045778,0.0029796,0.0001253,0.0021851,0.0000743,0.0000562,0.000276,0.001077,0.000168,0.000282,0.0003687,0.0018871
0.0052179,0.0051997,0.000453,0.000345,0.0050624,0.0031062,0.0001555,0.0020935,0.0000816,0.0000603,0.000298,0.00103,0.000169,0.000283,0.0003355,0.001885
0.0057227,0.005293,0.000483,0.000384,0.005521,0.0032609,0.0002017,0.002032,0.0000901,0.0000644,0.000329,0.001,0.000173,0.000286,0.0003412,0.0018126
0.0062468,0.0053742,0.000516,0.000428,0.0059929,0.0034091,0.0002538,0.0019651,0.0000997,0.0000675,0.000366,0.000982,0.000181,0.00029,0.0003435,0.0017353
0.0067832,0.0054479,0.000565,0.000485,0.00647,0.0035516,0.0003132,0.0018962,0.0001089,0.0000729,0.000406,0.000969,0.00019,0.000295,0.0003418,0.0016562
0.0073474,0.0055412,0.000633,0.000558,0.0069692,0.003707,0.0003782,0.0018342,0.0001179,0.0000797,0.000445,0.000958,0.000199,0.000297,0.0003367,0.0015831
0.007963,0.0056838,0.000707,0.000637,0.0075113,0.0038969,0.0004517,0.0017869,0.000128,0.0000869,0.000483,0.000951,0.000204,0.000295,0.000329,0.0015222
0.0086376,0.0058426,0.000786,0.000725,0.0080862,0.0040751,0.0005514,0.0017675,0.0001383,0.000096,0.000519,0.000952,0.000208,0.000286,0.0003291,0.0015175
0.0093361,0.0060504,0.000873,0.000823,0.0086755,0.0042911,0.0006606,0.0017593,0.0001506,0.0001058,0.000556,0.000958,0.000209,0.000272,0.0003253,0.0015229
0.0100565,0.0062811,0.001024,0.000958,0.0092747,0.0045279,0.0007819,0.0017532,0.0001614,0.0001159,0.000593,0.000968,0.000209,0.000256,0.0003181,0.001531
0.0108645,0.0065124,0.001104,0.001003,0.0099455,0.0047694,0.000919,0.001743,0.0001754,0.0001273,0.000626,0.000977,0.000211,0.000242,0.0003091,0.0015364
0.0118673,0.006739,0.001188,0.001049,0.0107828,0.005012,0.0010845,0.001727,0.0001919,0.0001385,0.000654,0.000986,0.000217,0.000232,0.0002998,0.0015375
0.0131192,0.0069999,0.001277,0.001094,0.011823,0.0052899,0.0012962,0.0017101,0.0002129,0.0001497,0.000673,0.000995,0.00023,0.000228,0.0002898,0.0015053
0.0145883,0.007262,0.001372,0.00114,0.013041,0.0055722,0.0015473,0.0016897,0.0002368,0.0001621,0.000685,0.001005,0.000246,0.000229,0.0002759,0.00147
0.0161381,0.0075277,0.001457,0.00118,0.0143065,0.0058652,0.0018316,0.0016625,0.000263,0.0001794,0.000694,0.001014,0.000265,0.000231,0.0002709,0.0014249
0.01764,0.0077995,0.001537,0.001213,0.015507,0.0061696,0.0021329,0.00163,0.0002884,0.000203,0.000706,0.001025,0.000283,0.000233,0.0002746,0.0013724
0.0190489,0.0080883,0.002526,0.002872,0.0166031,0.0064906,0.0024458,0.0015976,0.0003122,0.000228,0.000725,0.001038,0.000299,0.000233,0.0002739,0.0013168
0.0203885,0.008402,0.002699,0.002988,0.017725,0.0068396,0.0026634,0.0015625,0.0003361,0.0002531,0.00075,0.001053,0.000315,0.000232,0.0002684,0.0012589
0.0216815,0.0087437,0.002886,0.003112,0.0188022,0.0072144,0.0028793,0.0015293,0.0003589,0.000281,0.000777,0.00107,0.000331,0.00023,0.0002596,0.0011993
0.022972,0.009111,0.003138,0.003279,0.0198702,0.0076178,0.0031018,0.0014932,0.0003817,0.0003108,0.0008,0.001085,0.000347,0.000228,0.0002483,0.0011362
0.0242968,0.0095037,0.003359,0.00342,0.0209637,0.0080494,0.0033331,0.0014543,0.0004056,0.0003426,0.000817,0.0011,0.000365,0.000227,0.0002336,0.0010687
0.0256727,0.0099202,0.004746,0.004495,0.022094,0.0085059,0.0035786,0.0014143,0.0004298,0.0003779,0.000827,0.001114,0.000381,0.000227,0.0002166,0.0009969
0.0270906,0.0103658,0.005183,0.004711,0.0233359,0.0089958,0.0037547,0.0013699,0.0004556,0.0004143,0.000836,0.001129,0.000397,0.00023,0.0001958,0.0009199
0.0285333,0.0108361,0.005661,0.004948,0.0245998,0.0095147,0.0039336,0.0013214,0.0004814,0.000453,0.000844,0.001144,0.000412,0.000235,0.0001733,0.0008359
0.0299382,0.0112867,0.006189,0.005204,0.0258316,0.010005,0.0041066,0.0012817,0.0005165,0.0004978,0.000851,0.001155,0.000426,0.000241,0.0001593,0.0007745
0.0312339,0.0116987,0.007947,0.006357,0.0269677,0.0104461,0.0042662,0.0012526,0.0005619,0.0005494,0.000856,0.001157,0.000439,0.000247,0.0001572,0.0007389
0.0323936,0.0120983,0.010308,0.007803,0.0279864,0.0108795,0.0044072,0.0012189,0.0006046,0.0006019,0.000859,0.001146,0.000452,0.000254,0.0001537,0.0006978
0.0333909,0.0124785,0.013477,0.009615,0.0289529,0.0113013,0.004438,0.0011772,0.0006472,0.000656,0.000859,0.001119,0.000464,0.000261,0.0001489,0.0006525
0.034244,0.0128425,0.017735,0.01189,0.0297987,0.0117127,0.0044453,0.0011298,0.0006883,0.0007103,0.000855,0.001077,0.000475,0.000268,0.0001427,0.0006022
0.0349873,0.0131935,0.023459,0.014814,0.0305557,0.0121169,0.0044316,0.0010766,0.0007281,0.0007665,0.000842,0.001022,0.000486,0.000274,0.0001355,0.0005489
0.0356519,0.0135381,0.029495,0.017893,0.0312484,0.0125195,0.0044035,0.0010186,0.0007659,0.0008238,0.000816,0.000956,0.000495,0.000281,0.0001282,0.0004901
0.0362516,0.013875,0.037616,0.021767,0.0318881,0.012917,0.0043635,0.000958,0.0008053,0.0008827,0.000769,0.000875,0.000504,0.000287,0.0001201,0.0004293
0.0367922,0.0142066,0.04854,0.02664,0.0324253,0.013315,0.0043669,0.0008917,0.0008435,0.0009431,0.000702,0.000784,0.000512,0.000293,0.0001113,0.0003643
0.0372759,0.0145312,0.063235,0.032765,0.0329159,0.0137103,0.00436,0.0008209,0.0008804,0.0010049,0.00063,0.000697,0.000519,0.000299,0.0001017,0.000296
0.0376736,0.0147811,0.076338,0.037655,0.0333284,0.0140251,0.0043453,0.000756,0.0009432,0.0011009,0.000571,0.000631,0.000525,0.000305,0.0000961,0.0002569
0.0379915,0.0149466,0.091756,0.043258,0.0336681,0.0142496,0.0043234,0.000697,0.001032,0.0012352,0.000538,0.000596,0.000531,0.00031,0.0000945,0.0002482
0.038259,0.0150914,0.10973,0.049662,0.0339641,0.0144563,0.0042949,0.0006351,0.0011222,0.0013712,0.000529,0.000587,0.000536,0.000315,0.0000929,0.0002385
0.0384808,0.0152134,0.130415,0.056975,0.0343121,0.0146431,0.0041687,0.0005703,0.0012109,0.0015099,0.000533,0.000591,0.00054,0.00032,0.0000913,0.0002277
0.0386567,0.015314,0.153934,0.065308,0.0346196,0.0148129,0.0040371,0.0005011,0.0013014,0.0016501,0.000537,0.000596,0.000544,0.000324,0.0000889,0.0002168
0.0387952,0.015395,0.180387,0.074784,0.0348971,0.0149647,0.0038981,0.0004303,0.0013903,0.00179,0.000537,0.000596,0.000547,0.000328,0.0000865,0.000206
0.0389823,0.0155644,0.209897,0.085538,0.0352278,0.0151297,0.0037544,0.0004347,0.0013964,0.0018105,0.000537,0.000596,0.00055,0.000332,0.0000873,0.0002081
0.0391433,0.0157165,0.242651,0.097723,0.0355364,0.0152774,0.0036069,0.0004391,0.0014024,0.0018282,0.000537,0.000596,0.000552,0.000335,0.0000873,0.0002103
0.039279,0.0158512,0.278962,0.111497,0.0360027,0.0154076,0.0032763,0.0004436,0.0014069,0.0018434,0.000537,0.000596,0.000554,0.000338,0.0000881,0.0002114
0.0393913,0.015966,0.319313,0.127023,0.0364496,0.0155195,0.0029417,0.0004466,0.0014116,0.0018574,0.000537,0.000596,0.000556,0.00034,0.0000881,0.0002136
0.0394841,0.0160669,0.36442,0.144428,0.0368803,0.0156174,0.0026038,0.0004495,0.0014148,0.0018684,0.000537,0.000596,0.000557,0.000343,0.0000881,0.0002147
0.0395613,0.016154,0.415276,0.163519,0.0369523,0.0157016,0.0026089,0.0004524,0.0014178,0.0018793,0.000537,0.000596,0.000558,0.000345,0.0000889,0.0002157
0.0396278,0.0162307,0.45759,0.185098,0.0370146,0.0157768,0.0026132,0.0004539,0.0014193,0.0018874,0.000537,0.000596,0.000559,0.000346,0.0000889,0.0002168
0.0396808,0.0162935,0.475858,0.209599,0.0370641,0.0158382,0.0026167,0.0004554,0.0014223,0.0018956,0.000537,0.000596,0.00056,0.000348,0.0000889,0.0002179
0.0397242,0.0163469,0.49161,0.237558,0.0371046,0.01589,0.0026195,0.0004569,0.0014239,0.0019012,0.000537,0.000596,0.000561,0.000349,0.0000889,0.0002179
0.0397601,0.0163883,0.505025,0.269651,0.0371383,0.01593,0.0026218,0.0004583,0.001424,0.0019067,0.000537,0.000596,0.000561,0.00035,0.0000889,0.000219
