Death_Male,Death_Female,Disease_Male,Disease_Female
0.004338,0.004596,0.000056,0.000030
0.000428,0.000489,0.000055,0.000030
0.000335,0.000349,0.000054,0.000030
0.000254,0.000233,0.000052,0.000029
0.000197,0.000151,0.000051,0.000029
0.000162,0.000116,0.000050,0.000028
0.000150,0.000093,0.000049,0.000027
0.000139,0.000081,0.000048,0.000027
0.000139,0.000081,0.000046,0.000028
0.000127,0.000081,0.000044,0.000028
0.000116,0.000081,0.000042,0.000029
0.000116,0.000081,0.000039,0.000030
0.000127,0.000093,0.000037,0.000031
0.000150,0.000116,0.000035,0.000032
0.000208,0.000140,0.000033,0.000034
0.000266,0.000163,0.000065,0.000039
0.000324,0.000198,0.000063,0.000041
0.000382,0.000221,0.000061,0.000043
0.000428,0.000244,0.000063,0.000043
0.000463,0.000279,0.000065,0.000044
0.000486,0.000303,0.000091,0.000048
0.000509,0.000326,0.000093,0.000049
0.000532,0.000349,0.000095,0.000050
0.000578,0.000361,0.000098,0.000051
0.000625,0.000361,0.000100,0.000052
0.000659,0.000372,0.000102,0.000053
0.000694,0.000384,0.000105,0.000055
0.000706,0.000407,0.000107,0.000056
0.000706,0.000431,0.000109,0.000057
0.000694,0.000442,0.000110,0.000059
0.000671,0.000454,0.000113,0.000056
0.000671,0.000454,0.000114,0.000057
0.000671,0.000454,0.000116,0.000059
0.000717,0.000465,0.000130,0.000072
0.000762,0.000465,0.000145,0.000086
0.000806,0.000489,0.000160,0.000099
0.000855,0.000512,0.000174,0.000113
0.000917,0.000547,0.000189,0.000126
0.000993,0.000583,0.000215,0.000149
0.001080,0.000618,0.000241,0.000172
0.001172,0.000654,0.000309,0.000208
0.001269,0.000691,0.000336,0.000231
0.001377,0.000733,0.000362,0.000254
0.001502,0.000781,0.000413,0.000300
0.001634,0.000833,0.000464,0.000346
0.001771,0.000887,0.000515,0.000392
0.001923,0.000943,0.000566,0.000439
0.002108,0.001001,0.000617,0.000485
0.002336,0.001063,0.000692,0.000556
0.002599,0.001127,0.000768,0.000627
0.002878,0.001193,0.000934,0.000718
0.003157,0.001262,0.001009,0.000789
0.003436,0.001339,0.001085,0.000860
0.003720,0.001427,0.001193,0.001039
0.004003,0.001519,0.001301,0.001218
0.004286,0.001614,0.001409,0.001397
0.004587,0.001723,0.001516,0.001577
0.004923,0.001865,0.001624,0.001756
0.005307,0.002049,0.001756,0.002045
0.005720,0.002263,0.001887,0.002335
0.006148,0.002491,0.002130,0.002688
0.006597,0.002730,0.002262,0.002978
0.007087,0.002991,0.002393,0.003267
0.007638,0.003286,0.002769,0.003911
0.008221,0.003591,0.003145,0.004556
0.008821,0.003904,0.003521,0.005201
0.009465,0.004264,0.003898,0.005845
0.010204,0.004729,0.004274,0.006490
0.011070,0.005328,0.004853,0.007432
0.012038,0.006036,0.005432,0.008375
0.013051,0.006792,0.006244,0.009453
0.014060,0.007544,0.006823,0.010395
0.015054,0.008279,0.007402,0.011338
0.016637,0.009380,0.009289,0.013823
0.018552,0.010678,0.011176,0.016309
0.020964,0.012173,0.013064,0.018794
0.023882,0.013951,0.014951,0.021279
0.027231,0.015914,0.016838,0.023765
0.030879,0.018183,0.019929,0.027706
0.035015,0.021193,0.023021,0.031648
0.039409,0.025414,0.026133,0.035754
0.044159,0.031108,0.029224,0.039696
0.049630,0.038329,0.032316,0.043638
0.056353,0.046706,0.038667,0.050658
0.065380,0.053915,0.045019,0.057677
0.072982,0.062194,0.051370,0.064697
0.081420,0.071716,0.057721,0.071717
0.090771,0.082624,0.064072,0.078737
0.101125,0.095113,0.075370,0.089478
0.112564,0.109391,0.087927,0.100827
0.125181,0.125665,0.101451,0.112580
0.139074,0.144185,0.115604,0.124613
0.154336,0.165193,0.129841,0.136695
0.171047,0.188939,0.143552,0.148572
0.189309,0.215684,0.156185,0.159954
0.208889,0.245668,0.167408,0.170508
0.229903,0.279121,0.177218,0.179932
0.252675,0.316229,0.185959,0.188050
0.277270,0.357077,0.194206,0.194916
0.303714,0.396616,0.202535,0.200862
0.332064,0.433898,0.211331,0.206414
0.362321,0.473688,0.220694,0.212121
0.394410,0.515955,0.230499,0.218378
0.428282,0.560588,0.240523,0.225319
0.463139,0.607435,0.255843,0.232841
0.497823,0.654327,0.272143,0.240724
0.532838,0.700454,0.289482,0.248756
0.567721,0.746429,0.307929,0.256802
0.601990,0.791608,0.327554,0.264826
0.635115,0.835292,0.348431,0.272837
1.000000,0.876784,0.000000,0.285196
,0.915385,0.000000,0.298116
,1.000000,,
