남자,여자,남자,여자,남자,여자
0.0031,0.0034,0.024844,0.026123,0.000174,0.000132
0.00025,0.00029,0.04737,0.038305,0.000065,0.000034
0.00019,0.0002,0.068806,0.050274,0.000062,0.000033
0.00014,0.00014,0.088448,0.062203,0.000059,0.000031
0.00013,0.00012,0.106187,0.074058,0.000056,0.00003
0.00012,0.0001,0.122735,0.08528,0.000053,0.000028
0.0001,0.00009,0.139326,0.094931,0.00005,0.000027
0.0001,0.00007,0.157115,0.102146,0.000047,0.000025
0.00008,0.00007,0.17585,0.10601,0.000044,0.000024
0.00008,0.00007,0.195258,0.106922,0.000041,0.000023
0.00008,0.00006,0.216268,0.107119,0.000037,0.000021
0.00008,0.00007,0.240918,0.109804,0.000037,0.000021
0.00009,0.00007,0.27127,0.117581,0.000035,0.000021
0.00012,0.0001,0.307863,0.13141,0.000034,0.000021
0.00016,0.00014,0.349897,0.15021,0.000033,0.00002
0.00019,0.00016,0.39592,0.17166,0.00005,0.000024
0.00024,0.0002,0.444922,0.193029,0.000049,0.000023
0.00027,0.00022,0.496826,0.212503,0.000048,0.000023
0.00029,0.00024,0.554874,0.229983,0.000047,0.000022
0.0003,0.00022,0.61906,0.24625,0.000046,0.000022
0.00031,0.00022,0.681911,0.261527,0.00007,0.000031
0.00032,0.00022,0.731689,0.275857,0.000069,0.000031
0.00034,0.00022,0.758082,0.289082,0.000068,0.000031
0.00036,0.00024,0.756311,0.301336,0.000067,0.000031
0.00039,0.00027,0.73061,0.312656,0.000066,0.000031
0.00042,0.0003,0.692563,0.322801,0.000066,0.000031
0.00046,0.00032,0.65605,0.331055,0.000067,0.000031
0.00048,0.00034,0.630523,0.336576,0.000068,0.000032
0.00051,0.00035,0.617668,0.338874,0.000069,0.000033
0.00053,0.00035,0.613412,0.338277,0.00007,0.000033
0.00056,0.00035,0.613874,0.336004,0.000084,0.00003
0.00058,0.00036,0.614576,0.333402,0.000085,0.00003
0.00062,0.00037,0.612617,0.331295,0.000086,0.000031
0.00065,0.0004,0.607503,0.329391,0.000087,0.000032
0.0007,0.00044,0.600505,0.327341,0.000088,0.000033
0.00074,0.00047,0.592711,0.325816,0.000092,0.000036
0.00079,0.00051,0.585539,0.325993,0.000098,0.000039
0.00085,0.00055,0.580043,0.328985,0.000103,0.000044
0.00091,0.00057,0.576302,0.334602,0.000109,0.000048
0.00097,0.00059,0.573877,0.342423,0.000115,0.000053
0.00104,0.00062,0.572553,0.352759,0.000167,0.000066
0.00112,0.00064,0.572332,0.366836,0.000173,0.000072
0.0012,0.00067,0.573434,0.3862,0.00018,0.000078
